,soil,theta,theta_rel,f,k_mean,k_lo,cs_lo,cf_cs,cs_plant,i_k,i_cs
92,sand,0.0375,0.3,0.3198360000000001,150,4.0679654548275135,0.0011108533238494145,245822.31245492096,27.30725328668983,6.147558932911045e-15,4.3779524030305177e-11
93,sand,0.041874999999999996,0.33499999999999996,0.3198360000000001,150,5.428031759573196,0.0019858666618822185,153174.5089350284,30.41841507442529,8.16626028659513e-15,5.865131385215171e-11
94,sand,0.04625,0.37,0.3198360000000001,150,6.958309532961468,0.0032777706019554986,101928.08383218003,33.40968766987753,1.041614385620411e-14,7.551277617350936e-11
95,sand,0.050624999999999996,0.40499999999999997,0.3198360000000001,150,8.65215561990152,0.005091336301720983,71304.3641807189,36.303449782442755,1.2880414460058984e-14,9.432479000014046e-11
96,sand,0.05499999999999999,0.43999999999999995,0.3198360000000001,150,10.502051847923768,0.007537204122585739,51893.19145387591,39.112957656028456,1.5540897766689078e-14,1.1503354770237944e-10
97,sand,0.059375,0.475,0.3198360000000001,150,12.499614082957583,0.010728988297103781,39002.24161095431,41.845459380474296,1.8378267552106682e-14,1.37568159165291e-10
98,sand,0.06375,0.51,0.3198360000000001,150,14.63561774781916,0.014779933109547505,30111.04755356519,44.50392687000976,2.1372294947351478e-14,1.6183856424331032e-10
99,sand,0.06812499999999999,0.5449999999999999,0.3198360000000001,150,16.900042401857483,0.01979919080017778,23782.856608333568,47.08813157616653,2.4502115799669212e-14,1.8773391795213202e-10
100,sand,0.0725,0.58,0.3198360000000001,150,19.282137130909344,0.02588786056074266,19157.795182167512,49.595433032722006,2.774651095899925e-14,2.1512179653751096e-10
101,sand,0.076875,0.615,0.3198360000000001,150,21.77050740504062,0.0331349487470084,15699.852633884107,52.02138123593347,3.108419309546511e-14,2.438482015672498e-10
102,sand,0.08124999999999999,0.6499999999999999,0.3198360000000001,150,24.353222780150357,0.041613479899961614,13063.135620749932,54.36025315845499,3.449409267490857e-14,2.7373863044406046e-10
103,sand,0.08562499999999999,0.6849999999999999,0.3198360000000001,150,27.017943471128593,0.051376995060828864,11017.682336060147,56.605541096154354,3.7955635134765905e-14,3.046002026836933e-10
104,sand,0.09,0.72,0.3198360000000001,150,29.752062491309875,0.062456684956241806,9406.585186171938,58.750412748679196,4.144900116445694e-14,3.362248421938127e-10
105,sand,0.094375,0.755,0.3198360000000001,150,32.54285889976288,0.07485938091739046,8120.310704152014,60.78814321696788,4.4955362409412026e-14,3.683934087297327e-10
106,sand,0.09874999999999999,0.7899999999999999,0.3198360000000001,150,35.3776568193725,0.08856656940486052,7080.832707351099,62.71250614198176,4.8457085851359045e-14,4.008805548853846e-10
107,sand,0.103125,0.825,0.3198360000000001,150,38.24398439399091,0.10353452876550989,6231.5554383188355,64.51811557824912,5.193790152824423e-14,4.3346005562488125e-10
108,sand,0.1075,0.86,0.3198360000000001,150,41.129726789310574,0.11969559541830133,5530.755343186047,66.20070539156055,5.5383030020110125e-14,4.659102889133703e-10
109,sand,0.11187499999999999,0.8949999999999999,0.3198360000000001,150,44.023267717629956,0.13696047122663596,4947.2182234653255,67.75733391468118,5.877926809114308e-14,4.980195190759268e-10
110,sand,0.11624999999999999,0.9299999999999999,0.3198360000000001,150,46.913614729406746,0.15522140715280974,4457.278894543073,69.1865102083496,6.211503286124253e-14,5.295906826036249e-10
111,sand,0.120625,0.965,0.3198360000000001,150,49.79050457907917,0.17435603179557657,4042.776150158598,70.48824069794512,6.538036671823452e-14,5.604454106426986e-10
112,sand,0.125,1.0,0.3198360000000001,150,52.64448622314338,0.1942315589468707,3689.6167547128366,71.66400141843681,6.856690673346551e-14,5.904271046112637e-10
113,loam,0.033166666666666664,0.18632958801498126,0.3198360000000001,150,2.0827642346264166,0.0002893963695602651,736936.7545758366,21.32668213697712,3.1682518322953322e-15,2.2277972855285187e-11
114,loam,0.03975,0.22331460674157305,0.3198360000000001,150,3.785484293699375,0.0009611056721130495,276618.246705035,26.5859365918176,5.726007013046203e-15,4.0704808552740686e-11
115,loam,0.04633333333333334,0.2602996254681648,0.3198360000000001,150,5.887797740002457,0.0023396577390708967,134053.22689052494,31.363866974184354,8.844602456739511e-15,6.37033355925861e-11
116,loam,0.05291666666666667,0.2972846441947566,0.3198360000000001,150,8.36944937169239,0.004760452827475725,75296.9016457186,35.844734833952266,1.2471011091280364e-14,9.117469631451343e-11
117,loam,0.0595,0.3342696629213483,0.3198360000000001,150,11.205706489787016,0.00859603750660265,46657.30415144818,40.10679364428161,1.6544549197361146e-14,1.2295210996662997e-10
